,dreams_text
24339,"Each class was making a special film for their favorite teacher. They picked my least favorite one. The sophomores were encouraged to watch the filming, but when my friends and I got there, my APUSH teacher kicked me out. He said we could buy it, and the cabana was too small for us all, and my least favorite teacher was nervous."
24340,"My fifth grade nemesis was getting married in a luscious wood. I came, and so did Robin Hood and his merry men. I thought it was a terrible match. Everyone proceeded to get drunk. The bride was so furious she left him the next day."
24341,"I was pawing through my earrings, looking for the most beautiful shade of aquamarine. I had to look perfect. I had to. You see, I had discovered that it was my destiny to save the world. A superhero-scientist. Also, I was going to marry a pilot, and we were going to fly off together. I was in love! He would wear the lovely shade of aquamarine too. Note: In real life I am NOT that superficial."
24342,"Mom and Dad were taking me to a practice ACT, SAT, and legit job interview. We rode through the big city Detroit, as well as creepy ghetto streets that the car almost broke down in. I went inside this small building in a park of sunshine, with a fountain outside. At first the door was locked, but I managed to get in. It was dim and shadowy, and I didn't want to be there, but my parents made me. They talked with the proctor/interviewer, who turned out to be Mr. Kantor, and then left. I took the test, with my pen cutting out chunks of table I was so tense. He then went onto make me feel awfully stupid in the interview, and show me my work. I had been hired on the spot. My job? Covering dead bodies with a layer of wax. I was revolted, but Mr. Kantor laughingly explained it was some cultural custom and his hobby. I accepted the job, much to my parents' delight."
24343,"It was cold and rainy, and all of the school was out in an open field. My throat had started to get soar. I went to go tell my counselor I would leave. As I was about to leave, though, Logan stopped me, and we started talking. I told him why I was going home, and he said that sucked. Then we started talking about the solar eclipse that was going to happen tomorrow. I was so excited to see it! Then he asked me out, and I was overjoyed. The conversation wrapped up, and I went in search of my friends to tell them I'd been asked on my first date! And my sore throat had disappeared! However, I couldn't find them anywhere, and it was time for lunch, so I sat at one of the Hogwarts-style tables, and was about to start making new friends when I woke up."
24344,"My family had to attend a wedding, which Aunt Jill had also turned into a reunion. After eating, I went around passionately kissing all of the unrelated old men in attendance. One, who wore an unbuttoned Hawaiian shirt and was overly tan, wanted to keep me, but I managed to escape him. I went back to my table for a desert of chocolate covered croissants. Mom was complaint about aunt Jill's seating, because my Dad was put elsewhere, and we got stuck with miserable Ceci!"
24345," This little girl moved to a small town with her parents in the 1830s. She was able to help out at the shops around town, and would eventually go to college there, with the handsome boys from the shops. Her father got a job to clean up this old house away from town. He did, but he said he felt there was an evil spirit there. One day, she went with him to the house, and he left her there. By mistake? She went up 3 flights of stairs to the main bedroom, where she was very excited to be the lady of the house. But as she was jumping up and down on the bed and looking at herself in the mirror, she paused, as she heard sounds. She knew she had awakened the evil spirit, who started to howl and chase her, trying to kill her. She ran and ran upstairs and downstairs, until she ran into a windowless room, and knew she was going to die."
24346,"Mom said she didn't want me to go to U of M because I would have to cross streets to date someone. U of M really wanted me, but I went to MTU, despite the fact that I have to cross a highway for that! Anyway, I was there waiting in my vintage skirt for Mom to come pick me up and take me home for Xmas. When I got home, we went down to the basement where all sorts of gifts and cards awaited."
24347,"My friends and I went out to a restaurant to have a good time and forget about our problems. Ben was there, and happier than ever, and so was my crush, who everyone instantly liked. We ate round after round of food, until after 5 hours it was time to go. Everyone fled, leaving just me and my crush. He said he'd foot the bill. But it was $303.03!! So I pitched in $25, even though I had more in my purse. I hugged him then, and we both told each other how fantastic the other one was, and how we missed them. Now Mom came in her work clothes and said it was time to go. We went out side, and our ""car"" was a big wicker basket with a swing inside. We decided not to use the swing."
24348,"I was watching a battle in the Civil War, and it was terrible. Prisoners were set on fire inside if rings of cheering people. I was horrified to see that children were watching this. Then, Michelle Obama stepped forward from the CSA and lit herself on fire as a shock tactic. More and more people did this on both sides. All those people burning under a brilliant blue sky-- it was terrifying! And then one journalist gets to the frontlines for the CSA and allows his own heart to be cut out. Everywhere I turn is the gruesome brutality, it's unescapable."
24349,"Selena Gomez dove out her balcony window into the sea. Everything was beautiful, the house, the sea, the wind in the palm trees. A hot guy who seemed slightly devious came over and started making out with her. He was sooo hot! They kept making out in the water, with the intent of making love soon."
24350," I was extremely late to school, and therefore late to the PLAN, which was held in a cemetery. When I got there, it was too late to start, so I just decided to throw the whole thing and go back with my parents to lunch."
24351,"I was in a classroom with Nate for science, an we were goofing of, and then he started hugging me tight, and wouldn't let go no matter what I said. This is weird, because he's totally gay. I managed to escape into an empty classroom, and run into the arms of Joe, though he did stop hugging me. I felt bad because though I really like them, I don't feel romantically inclined towards them. I took a walk with both of them to explain this, but they just though they had to compete for my affection. We layed down on a blanket to watch a movie then, and someone came along in an outfit made of food. I reached over to grab a carrot off of them, but my arm disobeyed my brain and hugged Joe."
24352,"SHS was holding a read in in second hour. Naturally, I went to my FHS second hour, though it was taught by my English teacher. My friend came in and chose her yoga mat, and started chattering excitedly about how fun this was going to be and could we be reading partners? I felt rude to interrupt, but the bell was going to ring any second, and I'd forgotten something in the bathroom. I elbowed my way through the crowd of all too familiar faces, but the two that stood out the most were Lindsey Corliss, talking of science fiction, and Summer, talking of her recent graffiti spree. I decided I must look at this graffiti while I was in the bathroom. It was weird and creepy."
24353,"My immediate family and Aunt Jann and I were at a party, waiting for the Josh Daggs to show up. We waited a long time, and kept checking for them to arrive. The party was in a lodge-like place. Finally, we new they were going to arrive, so we crossed the dark yard to meet them. Addie was tired and cranky, and Uncle Josh was curmudgeonly. Mom decided that I could not miss school as we had planned."
24354,"I was shopping in the mall with Mom. We went into a cute perfume, candle, and soap store. This girl came in with that weird artsy hair. ""Faith? Faith Ureel?!!"" She said excitedly. ""It feels like WIE was forever ago!! I've missed u!!"" She swept me up into a hug that I couldn't breathe in. ""Celia! It's been forever!"" I was surprised but happy. I thought she didn't like me!"
24355,"I went to class after studying really hard for an essay, and radiating confidence. I though I was going to be late, but I arrived early, and like the other girls, began pinning my hair up, which Mr. Barker apparently wanted. Then he came in and cancelled the essay! Instead, he asked who would come to his class during Spring Break. Most of the high performing students and I said no, so he hopped on a train and kicked us as it passed us. I hopped on the train when I saw Mom was on it. She asked me why I lied about being busy on break. With, Mr. Barker in earshot, I listed my reasons, making them sound extremely noble."
24356,"I was back at the Seussical, but it was terrible, and long and drawn out. Uncle James was upset that he paid $40 for tickets. I went home very disappointed. All of a sudden, there was a bright green light behind my bed. I didn't know what it was, only to be afraid."
24357,"My crush showed up to Stevenson's homecoming dance because he missed me. I was talking with my gross, disgusting date, and then all of a sudden he appeared, and everyone was asking if he was my bf. We went to the library, and ran around on the window panes, and my BFF an her buddies put on their color guard routine."
24358,"A Fly-by-Night carnival came to town and Aunt Jennefer insisted on taking Isabelle and me, though Mom and Dad went too, because they don't trust those things. Each carnival game you completed successfully earned certain amounts of prize tickets. We came to a baseball one, which I was no good at, but I hit a home run!"
24359,"I decided to do the variety show again. I had wanted to sing, but as I can't sing, I decided to do a pantomime dance routine. I was terrible, but I made it into the show. Isabelle was very upset with me. I ended up quitting."
24360,"Two of my friends had lockers on either side of mine, and were in English class with me. We were trying to puzzle out a curious assignment. I figured it out, and was waiting by our lockers to tell the others."
24361,"A bunch of random people from Stevenson came over one summer evening, and we decided to play Girl v. Guy football. The guys, it turns out hated me, and it turned into a contest of throwing balls at each other. The General who was watching over us only made weak attempts to stop it. Kerry, who was the captain of the girls, led them to harass me with pokes and jeers, and chasing me out to where the boys could find me."
24362,"I was back at Franklin, and my friends and crush and I decided to audition for their musical. My crush wanted to audition for this part, but he didn't want to say some of the very insulting lines, so I auditioned against him, and decided to join crew as well (it was a small, songless part). All us drama geeks had a lot of fun!"
24363,"I went back to Franklin, and the first person to meet me there was my worst enemy, running past me in a fancy Victorian dress. Jon Stewart, who turned out to be her father, also ran past. I thought that was strange, but went on through the winding halls. Some sort of celebration was occurring. I decided warily to leave, when I came upon a group of geeky guys. I stopped to talk to them, fell head over heels for one of them."
24364,"I was in class with my crush and two other fictional friends. School was a broken down house, so we had class outside on a picnic table. Our teacher was quite odd. My crush and I kept goofing off. It was fun. Mom came and asked me what was going on in Mrs. Hewitson's class, and I was trying to give both her and my crush my attention. Mom said she didn't like my crush."
24365,"""Because you don't want me too,"" the zombie replied, ""And I always do the opposite of what people want me to do."" I'm trying to run, but things keep slowing me down, an the midget zombie gains on me. Finally I hit a running streak, the school turns into my house, and I run out the back door. It's sunny and beautiful outside. I stop by the gate, wondering how long I can really keep this up. He's behind me..."
24366,"So everyone ran in to Redford Union, crowding into their center hall. I stood with my best friends (the characters I've mentioned, not my real friends), waiting. Before long, the first two zombies had entered. (Guess no Of Monsters and Men concert now!). Immediately one zeroes in on me for its kill. I try blocking my path with chairs, tables, people, but the midget zombie is determined. ""Why do you want me?"" I ask. Continued in Part 3"
24367,"My crush turned out to be the main character from Warm Bodies, but not zombified. We also had this friend, a nerdy but funny guy. Together, we were running. Why? Because the school was being attacked by zombies! We ran down halls that led to other halls upon others, until finally we made it outside. Redford Union high school was next to ours, and people were gathering there in the sun. With a small breeze, it was nice. Continued in next entry."
24368,"It turns out my house was on the set of MASH-- except it actually was in the Korean War. Hawkeye kept dressing up in weird, clownish costumes. I was so sick that I quickly rushed into my house, where an Egyptian couple stood waiting for me. I begged them to help me, for I was so miserable. They looked at each other funny, and then started urgently at me, ""Drink water! Drink water! Drink! Drink! Drink!"""
24369,"I was in the Hunger Games (I think) being trained by Katniss's trainer. All of a sudden I didn't do something he wanted, and he layed it on me, beating me. I screamed and screamed for help until Dad came. But instead of stopping the trainer, he beat me too, even more ferociously."
24370,"My family and I went up to meet the Josh Daggs at Sand Lake. I broke open a jar of larvae, which quickly turned into dragonflies the flew around me. I ran to an old train in the forest, where I met Forrest Gump, who was in love with me, even though I wanted to be just friends. Then I got off the train and into my health/earth science class, taught by the most boring person on the planet. It was the second to last day of the class. I passed. It gets fuzz after that, but I know drama besuited."
24371,"This girl had her coming of age in the future dystopia, so she got to wear a lovely green dress. (I know, this is sounding like Matched.). And she realized the government was evil, so she struck out on her own with a dragon. Ahe figured out what she had to do to save her ppeople and. Races back to do so. I can't remember anything else."
24372,"I decided to begin dancing with the school's troop. I was at rehearsal, when surprise! It was actually a stage in the middle of a stadium, with thousands watching, including the emperor of China. We had to do the dance perfectly, or face death. And we did do it. Perfectly, it was the most exciting, fun dance I wver had done. I ate Sushi afterward."
24373,"I thought I was using the sink to wash my hands, but the turn of the left handle called a group of assassins to my house. My entire family was massacred, but I didn't see because I was in another room. I cornered one of the assassins, ready to kill him, when some others snuck up behind to kill me."
24374,"Allison and i ride on horseback over to a seemingly normal village a mile away. Upon hitting the end of the village she turns around and by the stables pushes me off, telling me to steal a horse. I steal a chestnut brown horse with large white patches. I coax it out with hay. Eventually i am able to ride it back to my village. Later that day we figure out they are nazis. They come to our village and imprison everyone and it is all allisons fault. While she is working i try to mess her up or stab her"
24375,School Grandpa's cabin Lion Follows around Fight 7 people; wins Broken into Locket is stolen Valuables stolen Snake snack Person shot Loacher Zippers Plane Save Teachers Falling floor game Secret hideout Kid gets angry and depressed Leave Ice cream? Colorado Earrings lost Odd guitar
24376,"Cortney hosts a party. 6 people come. Cassandra, Aiden, Zach, Anna, Cameron, and Cassandra. Aiden kisses me on the cheek 3 times, each time my heart sours. (Don't feel like saying rest of dream, boringish, other than aiden reappears as a mental representation ; like in reality he was but wasn't there becuz it was a dream)"
24377,"At the beginning I go to Charlie's party. We r making a movie. We go over to a lake jump in (though its illegal) movie makers r confused. I go home (dry) and my little sister wants a tour of our new neighbors house. On out way down the gravel path, barefooted, we pass an Indian woman I know. She bows greeting, yet the apple on her head stays, when we walk into the house, it's mainly a corridor of rooms. The one on the end a brat is getting his room set up. On the left of his room is his older brothers room. He asks what I'm doing, so I explain. Charlie o comes up and invites me to a party and asks to write down who I don't want to c. I write own the seriffs name. He smiles, grabs a bouncy ball, and starts walking to his mom (the s"
24378,"For some reason... Me bailey and cortney were all laying side by side on a beach, wearing only dresses... In the dream we all discovered we were lesbian (?) and we experimented with this new found knowledge... Later- I was supposed to be a back up dancer for Maren at a show and I left at the beginning and I tried to hide in clothes but Cassandra found me and made me go home. We couldn't figure out what leftovers to eat."
24379,"Cossett is taken when I'm with her by her ghost dad while death rides his horse around. Filler..........I find my animal friend's home. Talk with the kids in the treehouse filler....... Me cortney and a group go in a ""cave"" tht has waterfalls, a lake, and bridges made by creatures that can only be killed by a weapon that you personally haven't used before. I climb onto a narrow totem pole and give her my dagger. She kills one of the creatures. Our group kills the other. For some reason we r clinging together, not as sisters, but because we are feeling lesbian? I could feel we both wanted to kiss each other, etc. filler.......... Me and Allison nearly kill each other. Me and Dan make out after. We all talk about the college's parties. Filler......... There is a war between college cheerleaders and evil creatures?"
24380,"I was trying to hide from someone and ducked into a public bathroom. I could hear the person try to follow me in, so I put myself into a stall. Quickly I pressed my back to the door and pulled my feet up, pressing them to the back wall. Once in position, I waited, only to realize I could see other people’s heads over the top of the stall. They seemed to arch over to see what was going on. As I was surveying them, a guy joined me in the stall and I think sexy time was about to happen. Then I was running around a dormitory kind of thing – from shower stall to shower stall trying to find a place I could hid the same way."
24381,"I have no other information and no other context, but in my dream I could pull out zits. So, instead of squeezing and popping, I just took tweezers and drew them out in a long, thin snake. It. Was. Disgusting. But nobody seemed to mind."
24382,"I don’t remember what else was going on, but I remember at some point I was in this velvet and wooden booth behind a table in a dark corner. I’m not sure where we were, but I was with Blake Shelton. At some point, I slumped against him, burying my face into his chest, while he was talking to other people quite loudly, animate, with one arm curled around me, resting on my shoulder in this kind of absent half-hug."
24383,"I was at a table, furiously trying to organize something. I can't remember what exactly, but I know it involved colours and people kept coming in and messing it all up for me. Then at some point, Rick was sitting at the table, very calmly, very quietly. I was asking his opinion and he gave some quick solution. I nodded, working on it, and then it was gone. Everything I had been working on - gone. And I was just sitting at the table facing Rick. He was talking. I don't know about what, because I just kept watching Rick's fingers move along the tabletop. And then I remember looking up and he smiled softly, nodded, and then got up and walked out."
24384,"I had to go in for radiation, but it wasn’t much of a hospital. I just remember two concrete slabs of room on a platform with a small hallway between them. On one side there was a river, behind it was a cliff of sorts. At any rate, I was getting ready in one room (I don’t know what the radiation was for). My main prep seemed to involve taking a shower, but the tub wouldn’t drain and it sort of flooded the room. I remember letting the water leak out and into the carpet of the hallway. At some point a woman came flying in, apologizing, telling me she had been so worried that she’d miss me. She gave me presents, one of which was an eight-eyed octopus card about family. When she saw me staring at it, she took my hand and said, “Don’t worry. Rick will understand.” And I knew she was talking about my inability to have kids, which would be absolute after the radiation."
24385,"I was to get somewhere, but I kept getting hindered by animals and creatures and people. I remember at one point this black and orange snake was writhing and whipping towards me. I got a little frightened and then a second snake came wriggling out of the sleeve of my cardigan. I screamed and then I realized it was a dream. I tried to wake myself but I couldn’t, but the snakes exploded and foamed like snails when you put salt on them. The problem was I couldn't wake myself up or control anything, but the nightmare just kept going and going, I remember getting bitten my a lot of snakes. I couldn’t control anything, but I would, occasionally, remember that it was a dream."
24386,"I was trying to run away from something or someone and I got to this big house. Inside, I had to pick/run across this huge basketball court. I found an old, grand, worn staircase and raced upstairs, ending up on an empty, quiet domestic floor. I went into a dusty, grey-lit room at the end of the hall and crawled into a little, metal frame bed covered in a worn patchwork quilt under a window. There, I fell asleep. But I heard someone come in and stirred. At first, I didn’t turn, but I heard Mom say, “Ah, one of the beds is occupied.” I turned over and saw her Tinkerbell pajama bottoms as she sat on the edge of the bed. It gave a little squeak as she sat and I was too tired to really look up. But she began to stroke my shoulder softly, telling me she’d get me some medicine."
24387,"Rick and I were doing construction to set up a shop – he was finishing a wall and I was installing big metal shelves. I don’t know what kind of store it was, but at a certain point, he suggested we call it quits for the night. He went to start the car and I ran into a convenience store across the way to get a few things- namely these two enormous candy bars. But all of my cards kept getting declined and there was a huge line building up behind me. So embarrassing."
24388,"I was doing some arrangement for The Voice. I had to cram four songs into one somehow. I wasn’t singing it, just putting things together on a computer. But I remember the judges were quite pleased with what I’d done."
24389,"I was on my iPhone playing QuizUp with Renee. She beat me at something, but sent this looooong explanatory message about how I was smarter and then a series of incorrect answers she’d given on tv trivia, which didn’t really make me feel any better."
24390,"I was at a carnival and as I was walking, I ran into these teenage boys. They were trying to sort change from a purchase amongst themselves, when one of the boys walked up, grabbed a fistful and left. The others seemed to think that was adequate, because they sort of shrugged, took what was left, and went off. Then I walked out further, around a carousel – carousel on one side, walls of shopping on the other. I knew I didn’t have any money really, so I just browsed a little, but then I saw this headpiece on a row of crowns. It was silver, very plain, but a headpiece/crown like the Elves from LOTR. I tried it on, put it back, tried it on again, admiring it in the mirror. In the dream, I had hair kind of like Meradough from ‘Brave’ – rich auburn, very long, quite curly. I checked the price (19.95) and decided to buy it."
24391,"There were all these things I promised myself I’d remember, but they’re gone and I only remember that I was outside at a car with Carlos. Carlos was blind – it seemed to be a new situation – and I was trying to help him maneuver out of the car and around it. We were on a dirt road in the forest. He kept bumping into things, slamming his knees, grasping around, and at one point I remember him saying. “There’s only so much you can memorize.” But every time I tried to help him, he dismissed it."
24392,"I was trying to play an iPhone game based on The Hunger Games – but I wasn’t there, just watching the screen. I didn’t understand the rules, or which character was me, or how to control it and at first I was really frustrated, but I got the knack and almost immediately got bored."
24393,"I was trying to clean out my apartment and I had been hauling big bags of stuff outside into the trashcans, but most of the bags broke and I was trying to get them into the cans, totally frustrated. While I was trying to get a bag of broken glass in there, a cellphone rang (my mother’s; under the pile). I dug it out and it was Vanessa Brigham. I ignored it and went back to work, annoyed at how many things around the apartment were broken, what a useless fuckedhead my landlord is. I was in a dusty upstairs room sorting things – a kind of large Victorian space. Again my phone started to ring, again, Vanessa."
24394,"I was with Pedro in a parking lot and we were coming up with some plot –a first to take something down, then to escape. He had me press a series of buttons on this remote, which activated a huge RV to take off. Then another series and a plice car peeled out. “Hold it!” he laughed over the walkie-talkie, and suddenly the police car pulled back in, right in front of us. The back door popped open. “Get in,” he told me. “No way!” I protested. “You’ll look more sympathetic as a perp.” “No way.” My concern in all honesty was not saving face; it was a worry that I wouldn’t be able to get out should something happen to Pedro."
24395,"I was in some kind of bootcamp or training camp or concentration camep, but it was not by choice and I remember feeling a constant churning mixture of anger, fear, hatred, and disgust. All I remember vividly was wading through this staged marsh with a gun over my head. Once on the other side, I was on this muddy dirt road, and a meaty, belting guard got up in my face, screaming, and threatening me. I stood very still, refusing to look at him, but I was considering, in earnest, shooting him – up through his jaw. I knew I’d be killed, but I couldn’t quite convince myself to care."
24396,"I wasn’t in the dream, only watching, but Tyler Durden was rummaging through a pile of discarded junk near the underpass of a bridge. he had the cigarette clenched in his teeth and he was busted, but he smiled when he pulled out an old tire and started carting it off. He brought it to a group of circled men, filled it with something and then lit it on fire. Then it was night and he was leading some faceless new kid to the group, the kid protested, Tyler insisted. He drew the kid right up to the edge of the fire and, with the kid screaming and protesting, held him into the flames."
24397,"I was in an auditorium at a small table below and in front of a stage trying to teach an English lesson. While the students were listening to an exercise, I went up behind the stage curtain to poke around. Upon coming back, I realized I hadn’t given them enough time to finish, but I tried to push through. I don’t remember the other student, but I do remember Mohammed Alsharif. He was embarrassed and kept telling me it was hard. “I know,” I laughed, showing him the cover of the textbook that said, “Advanced.” “It should be hard,” I told him. “It gets harder from here.” He laughed and nodded and we started going through the answers."
24398,"I can’t remember exactly what was going on, but I was trying to get somewhere. I know I had an audience while I was working to get there. The only moment I remember well is the moment when I tried to cross between rooftops on a teeny-tiny wire that was razor sharp."
24399,"I was at someone’s house, but their mum kicked me out, so I walked through snow of a huge front yard back towards my car, but when I got there, it was inside a store/parking lot and two large groups were playing tug of war. Each team was lined up facing each other and the rope went in each of theirs hands, but it looped around a tree at the top of the row. Between the teams was a series of parked cars. I was irritated watching them and particularly annoyed when they took out a whole deplay of hockey sticks."
24400,"I was in a cozy, cabiny house – similar to Uncle Tom’s old place. I’m not sure what I was doing, but I remember at one point I was standing at the kitchen island talking to Angie, explaining to her what vegetables I do and do not like (not as instructions, just as chit-chat). I was nervous and picking at my fingernails, the countertop, generally fidgeting. At some point she interrupted me to say, “Well, it seems you just don’t like women that much.” I laughed and then I dawned on me that she wasn’t joking. “Well, I don’t think that’s it. I wasn’t-“ “Believe what you want,” she shrugged, waving a hand and walking away."
24401,"I was headed down this very wide, several-storied hallway (like at the Convention Center only bigger) with Rose who was in a big burst orange parka with fur trim. We were armed with guns and about halfway to the doors, these military folk showed up from either side. I forget what was used, but at some point, the military boys decided to play keep away from our escorts. Rose and I helped out a little, but by that time, we were at the doors, and I knew it was time to go out and face the music."
24402,"There had been some kind of catastrophic something and something had sliced my face open rather badly. I remember staring in the mirror and sewing it closed with this thick black thread in teeny-tiny stitches. It came out pretty good, nice, and tidy, and I washed off the blood to go about my business. The stitches went from below one eye, up and over in a jagged line across my forehead to my other eye, and then also along down the left side of my nose. Then I was in a hospital waiting room, being examined on an exam table against one of the walls. There were people with me who were worried and I remember not wanting the doctor to know what had happened. As she impacted the wound, she told me it all looked clean and was healed remarkably. I lied, saying I've always been a quick healer. She asked something about taking them out and I assured her that the other doc had prepared me on how to cut them off."
24403,"There was something wrong with mom and her radiation, but I was trapped, tangled up in some kind of tubing, and so I couldn’t get to her. Rick was around at some point in some fashion, but I feel like it was before I got caught in the web of tubing."
24404,"I can’t remember what was going on, but Blake Shelton and Adam Levine were there – there being a very wide, tarmac strip of road in the middle of the desert. The boys were behind me arguing about something and I was staring off into the distance, down the road, into a bright red glowing sunset. We had to get of there, I knew that. It was already beginning to get cool and I knew we’d freeze to death if we didn’t find shelter or a ride."
24405,"I was in this room that was all white and pink - very clean, very modern, very quiet. There was a sofa against one of the walls that was in white velvet, but a very sleek, modern design. I felt quite safe and isolated in there, though I was concerned someone would come in and find me. Adam Levine was with me and he was talking to me, though I can't remember about what. But I remember being very impressed with how exact his lips moved as he spoke. He was in a wife beater and jeans, and I remember him taking hold of my wrist at one point and it being really, really warm - too warm for the room."
24406,"I was in some kind of holding room (very sparse and grey) waiting to perform something. I was nervous, almost gagging with nausea. SOmeone was there - a man - someone I know (but I can't remember who), and he was trying to talk me through it. I found him very reassuring until he leaned into my ear to whisper something... something that made me uncomfortable, embarrassed me, something I felt was just disgusting (wish I could remember what). And then I just wanted to get away from everything - the performance, the room, him."
24407,"I was in this meeting room in, what I knew to be, the State Capitol. A group of us were sitting around a beautiful wooden table in a rather crummy room. Rick was to my right with his laptop out. I was supposed to give a presentation, but I never got the chance. When the meeting ended, I turned to Rick to ask him about the juried show, but Bill Scott came in and interrupted. He asked me how things were going, I said, “They’re going” with a forced smile and Bill just tossed his backpack on the table. I tried to leave but there were five doors. I knew immediately that I’d chosen the wrong one as I almost went skidding off the top step of the staircase. Embarrassed and in pain (I’d wrench my ankle sliding sideways in my heels), I marched back to the elevator and pushed the button until I was safe inside."
24408,"Renee and I were in a shared apartment and she’d just bought this VERY cool corner cupboard. It was enormous and had all these fantastic drawers. I asked her how much it had cost and she said not much. I didn’t like how vague she had been, so I checked the sticker - $795. I wondered how she got the money, but I was impressed with such a good find."
24409,"Woodmere was in the process of its expansion and it just ended up this seemingly endless series of parking garage-like grey slabs of rooms. It was pretty disgusting. But at one point, as I was trying to get through the monolithic galleries (no artwork yet, just the construction set up), I ran into a group of people. I only remember Tom. But we started hearing rattling noises from upstairs and Tom gave this shrug and said it was just the ghosts - you know, we built over an old pig farm and ""those hogs are angry."" Talking to the other people, we discussed how there were other ghosts in the new expansion."
24410,"I remember two and only two things. First, I remember I was trying to drain that weird cyst thing under my arm – and the pus/blood was coming out in this play-doh like stream – tons of it. I also remember walking into a room for a class and there were these neat rows of desks, lined up perpendicular to the front of the room. Every time I tried to find a desk there was no chair, and so I ended up in the last row in the back. I don’t remember who was sitting next to me, but I kept apologizing and explaining that I would’ve sat somewhere else but there were no chairs."
24411,"I hate that I've only been able to remember snatches lately.... Anyway... I was standing watching a movie on a television screen that was mounted up on the wall like at a hospital (though where I was I can't remember). I had this impending sense of doom, but I just stood there watching... And in the film I was watching Julianne Moore and some other bombshell were slowly packing some other actor in mud in what looked like either a flower bed or a sand box. Behind them was a shaded patio of some sort with lots of vegetation. I think it was Michael Douglass they were burying, but I can't quite remember. But I do remember that his entire body was so far down you couldn't even see the outline - just his head sticking up a little."
24412,"I was standing in this very 1950s kitchen (honestly, the kitchen of my dreams) in a house that overlooked the old playground at CAES. I was preparing something when the door opened and two people came in, talking in hushed tones about Meredith. I could tell something was wrong and that she was sick. I kept asking them to tell me more, but they ignored me and kept talking. She was in the hospital, something to do with a magic trick, but I couldn't figure out which hospital. All I wanted was to go see her, but I couldn't figure out where to go. I remember wiping vegetable juice off from my knife on my pink gingham apron nervously over and over."
24413,"I was at this very large arcade. I ran into Matt while I was trying to figure out how to play this motocross game. Just as we were about to play (we had to stand on the seats and use the bike like a snowboard), Sir Patrick Stewart came over and his entire job was to keep feeding the machine quarters."
24414,"I was in this weird house. I remember there was a group of people and I was trying to get away from everyone. I locked myself in a bedroom to be alone. Then Adam Levine was there (a thousand bucks says it was because I was staring at the ‘People’ magazine with his face on it) and we were sort of casually chatting until he lifted his shirt to show me a scar. I didn’t see a scar, but I kept running my hand over his side trying to find it. He seemed to get a little embarrassed about it, blushing slightly, and I apologized profusely. He took my hand, laced his fingers in mine, and then we started talking about a house in the ‘burbs and having kids. I felt this weird panic in my throat, but I kind of liked it. And when he kissed me, I found myself wondering why the party was so loud."
24415,"I know the dream was much longer, but the one part I remember quite vividly was I was with Sally and we were fall/sliding down this steep, wooded hillside. I say wooded, but it was very dusty and dirty, with roots sticking up and I remember I kept bumping into things and scraping my arms. At some point other people began to pop out of these little holes, almost like underground tunnels and I remember one man of some Middle Eastern persuasion popped up and grabbed my leg. I tried to beat him off with a stick and then I fell into one of the holes a little further down the hill."
24416,"I remember I got out of bed (my actual bed in my actual bedroom)and I remembered I had this little baggy of cocaine stashed in my purse. I pulled it out and debated whether to rub it on my gums or snort it. I snorted just a little, hoping it would give me that feeling described in Six Feet Under, but as soon as I did it, I realized I’d never be able to pass a drug test and began to panic."
24417,"I was in my apartment and there was a knock on the door and I went to answer. My upstairs neighbors rushed in tied me up, moving my stuff out and taking over the apartment, telling me their friend was moving in. As they were moving in the apartment changed slightly until it was big and palatial and beautiful."
24418,"I had been painting in my room, when I went to the kitchen to get a snack. While I was there, I decided to get a drink and I got really excited by the jug of apple cider. Just as I reached for the cider, I heard this muttering - almost like a muffled, crazed sob from the other room. Slowly I went towards the sound as I drew closer, I understood that it was my grandmother speaking through the painting. She was crying and speaking in tongues."
24419,"I was at Woodmere, standing in the corridor with a few people. There was something about cellphone cases, a certain ""tangerine"" case that was giving people fits. I showed them how to use it and Sarah, at one point, was like, ""Oh, thanks..."" And then started trying to take pictures of me. I asked her not to, but she ignored me, laughing and still trying. I blocked the camera and then ran into the back room, shutting the door behind me and trying to lock it, but there's no interior lock, so I went to the interior door. Rachel was at Renee's desk and she ran up to help me. We pulled the interior door shut and locked it, barricading it so Sarah couldn't come in."
24420,"I was asleep in my bed when I heard this noise coming from the living room - a little scraping, then a crash. When I got out of bed to investigate, the African American woman from 'Sleepy Hollow' was standing in my living room, explaining that Michael Sheehan had asked her to come and tell me that I needed to stop taking such long showers, and that I was being evicted."
24421,"I was in a dark, high school looking building, trying to find my way around. I had a class schedule (I was going back to school for a culinary degree), but I couldn't find any of my classes. They weren't where they were supposed to be and I kept getting frustrated. Rick was in one of them and he kept picking on me, saying I didn't need to be there, and, indeed the class he kept pointing to, I could've done with my eyes closed Finally I stopped someone that worked there and she kept trying to go over my schedule, but either she didn't understand or she didn't care because she kept writing in incorrect information."
24422,"(I fell asleep listening to SYSK, so it's not surprising, but...) I was listening to SYSK and they started reading my mail and I got so excited hearing my own words. Chuck even praised my phrasing. But then he started referring to me as 'he'... decent into depression... Then he said it was from ""Matt in Philadelphia""... At first I wanted to rush to send them an email to correct them, but no... They kept talking and I felt more and more discouraged."
